"State","Gender","Age.Cohort","Fit.Bound","LE"
"Alaska","Male","35-44 years","lwr","44.7760826560741"
"Alaska","Male","45-54 years","lwr","36.0010894169296"
"Alaska","Male","55-64 years","lwr","27.7306548263485"
"Alaska","Male","65-74 years","lwr","20.2458712029098"
"Alaska","Male","75-84 years","lwr","13.0295097024326"
"Alaska","Male","85+ years","lwr","8.51832087189378"
"Alaska","Male","< 1 year","upr","78.6414995335396"
"Alaska","Male","1-4 years","upr","78.01217832172"
"Alaska","Male","5-14 years","upr","74.0654107846672"
"Alaska","Male","15-24 years","upr","64.2954789578593"
"Alaska","Male","25-34 years","upr","55.1943157290978"
"Alaska","Male","35-44 years","upr","46.0109495316523"
"Alaska","Male","45-54 years","upr","37.1017682052413"
"Alaska","Male","55-64 years","upr","28.7092172104505"
"Alaska","Male","65-74 years","upr","21.0409574942366"
"Alaska","Male","75-84 years","upr","13.7646606209874"
"Alaska","Male","85+ years","upr","8.93374750737766"
"Alaska","Total","< 1 year","fit","80.2863184600917"
"Alaska","Total","1-4 years","fit","79.6009954701206"
"Alaska","Total","5-14 years","fit","75.6531577903518"
"Alaska","Total","15-24 years","fit","65.8138166316497"
"Alaska","Total","25-34 years","fit","56.6039418555235"
"Alaska","Total","35-44 years","fit","47.4072447530912"
"Alaska","Total","45-54 years","fit","38.4128700907326"
"Alaska","Total","55-64 years","fit","29.918979716569"
"Alaska","Total","65-74 years","fit","21.9871672021051"
"Alaska","Total","75-84 years","fit","14.5358922409726"
"Alaska","Total","85+ years","fit","9.30962608985655"
"Alaska","Total","< 1 year","lwr","79.5978868848069"
"Alaska","Total","1-4 years","lwr","78.9247691313541"
"Alaska","Total","5-14 years","lwr","74.9811538196576"
"Alaska","Total","15-24 years","lwr","65.1488862740038"
"Alaska","Total","25-34 years","lwr","55.9813203490629"
"Alaska","Total","35-44 years","lwr","46.8502569237615"
"Alaska","Total","45-54 years","lwr","37.9096619821701"
"Alaska","Total","55-64 years","lwr","29.4963049965531"
"Alaska","Total","65-74 years","lwr","21.6488539617368"
"Alaska","Total","75-84 years","lwr","14.2293826894743"
"Alaska","Total","85+ years","lwr","9.19700886005434"
"Alaska","Total","< 1 year","upr","80.9209549131306"
"Alaska","Total","1-4 years","upr","80.2242893485694"
"Alaska","Total","5-14 years","upr","76.2728432569089"
"Alaska","Total","15-24 years","upr","66.427005434624"
"Alaska","Total","25-34 years","upr","57.179068601041"
"Alaska","Total","35-44 years","upr","47.9265289172775"
"Alaska","Total","45-54 years","upr","38.8839304293692"
"Alaska","Total","55-64 years","upr","30.3179838804552"
"Alaska","Total","65-74 years","upr","22.3088185936156"
"Alaska","Total","75-84 years","upr","14.8253068928467"
"Alaska","Total","85+ years","upr","9.42224331965875"
"Arizona","Female","< 1 year","fit","82.0563022959347"
"Arizona","Female","1-4 years","fit","81.4354767619933"
"Arizona","Female","5-14 years","fit","77.5217319749983"
"Arizona","Female","15-24 years","fit","67.621952509836"
"Arizona","Female","25-34 years","fit","57.9537477899557"
"Arizona","Female","35-44 years","fit","48.5428796527917"
"Arizona","Female","45-54 years","fit","39.2770823387619"
"Arizona","Female","55-64 years","fit","30.4347501602359"
"Arizona","Female","65-74 years","fit","22.2412223908759"
"Arizona","Female","75-84 years","fit","14.5418654652388"
"Arizona","Female","85+ years","fit","8.48925580318944"
"Arizona","Female","< 1 year","lwr","81.5427665637661"
"Arizona","Female","1-4 years","lwr","80.9709983744516"
"Arizona","Female","5-14 years","lwr","77.0647803873944"
"Arizona","Female","15-24 years","lwr","67.1668898514144"
"Arizona","Female","25-34 years","lwr","57.503576061809"
"Arizona","Female","35-44 years","lwr","48.1117402097735"
"Arizona","Female","45-54 years","lwr","38.8581918939174"
"Arizona","Female","55-64 years","lwr","30.0510053260071"
"Arizona","Female","65-74 years","lwr","21.8833285233085"
"Arizona","Female","75-84 years","lwr","14.2337500700161"
"Arizona","Female","85+ years","lwr","8.23711761707956"
"Arizona","Female","< 1 year","upr","82.546204180046"
"Arizona","Female","1-4 years","upr","81.8867459029107"
"Arizona","Female","5-14 years","upr","77.9666485515875"
"Arizona","Female","15-24 years","upr","68.0650549306598"
"Arizona","Female","25-34 years","upr","58.3921049065216"
"Arizona","Female","35-44 years","upr","48.9635255234877"
"Arizona","Female","45-54 years","upr","39.685931118796"
"Arizona","Female","55-64 years","upr","30.8109172682606"
"Arizona","Female","65-74 years","upr","22.5924731943231"
"Arizona","Female","75-84 years","upr","14.8464560479507"
"Arizona","Female","85+ years","upr","8.74139398929931"
"Arizona","Male","< 1 year","fit","76.1945466329837"
"Arizona","Male","1-4 years","fit","75.619892696431"
"Arizona","Male","5-14 years","fit","71.7226699922045"
"Arizona","Male","15-24 years","fit","61.8258550380757"
"Arizona","Male","25-34 years","fit","52.7811524099234"
"Arizona","Male","35-44 years","fit","44.0394656021346"
"Arizona","Male","45-54 years","fit","35.4064116489229"
"Arizona","Male","55-64 years","fit","27.215174684637"
"Arizona","Male","65-74 years","fit","20.1497890967123"
"Arizona","Male","75-84 years","fit","13.581225274693"
"Arizona","Male","85+ years","fit","8.63476029557567"
"Arizona","Male","< 1 year","lwr","75.6843035169865"
"Arizona","Male","1-4 years","lwr","75.1599992326443"
"Arizona","Male","5-14 years","lwr","71.2711864307787"
"Arizona","Male","15-24 years","lwr","61.3763681886272"
"Arizona","Male","25-34 years","lwr","52.3486435457165"
"Arizona","Male","35-44 years","lwr","43.6293633217315"
"Arizona","Male","45-54 years","lwr","35.0253856061615"
"Arizona","Male","55-64 years","lwr","26.8768351157315"
"Arizona","Male","65-74 years","lwr","19.8752814287925"
"Arizona","Male","75-84 years","lwr","13.3873374770119"
"Arizona","Male","85+ years","lwr","8.46796762221937"
"Arizona","Male","< 1 year","upr","76.6792627392832"
"Arizona","Male","1-4 years","upr","76.0642620353684"
"Arizona","Male","5-14 years","upr","72.1598756297032"
"Arizona","Male","15-24 years","upr","62.2611421969753"
"Arizona","Male","25-34 years","upr","53.2000645535796"
"Arizona","Male","35-44 years","upr","44.4367745967415"
"Arizona","Male","45-54 years","upr","35.7759649569396"
"Arizona","Male","55-64 years","upr","27.544293485472"
"Arizona","Male","65-74 years","upr","20.4183592885338"
"Arizona","Male","75-84 years","upr","13.7741706075335"
"Arizona","Male","85+ years","upr","8.80155296893199"
"Arizona","Total","< 1 year","fit","79.0453986452168"
"Arizona","Total","1-4 years","fit","78.4496214242379"
"Arizona","Total","5-14 years","fit","74.5447760824032"
"Arizona","Total","15-24 years","fit","64.6467099889586"
"Arizona","Total","25-34 years","fit","55.3155348479126"
"Arizona","Total","35-44 years","fit","46.273841371837"
"Arizona","Total","45-54 years","fit","37.3466675276994"
"Arizona","Total","55-64 years","fit","28.8499763112039"
"Arizona","Total","65-74 years","fit","21.227571973162"
"Arizona","Total","75-84 years","fit","14.0783554982447"
"Arizona","Total","85+ years","fit","8.55006905420944"
"Arizona","Total","< 1 year","lwr","78.5335450457553"
"Arizona","Total","1-4 years","lwr","77.9875575697466"
"Arizona","Total","5-14 years","lwr","74.090746646715"
"Arizona","Total","15-24 years","lwr","64.1946215866243"
"Arizona","Total","25-34 years","lwr","54.8741908727993"
"Arizona","Total","35-44 years","lwr","45.8558664804415"
"Arizona","Total","45-54 years","lwr","36.948947878518"
"Arizona","Total","55-64 years","lwr","28.4927211991665"
"Arizona","Total","65-74 years","lwr","20.9128066321056"
"Arizona","Total","75-84 years","lwr","13.8277900783646"
"Arizona","Total","85+ years","lwr","8.34371142176225"
"Arizona","Total","< 1 year","upr","79.5327944891486"
"Arizona","Total","1-4 years","upr","78.8974226672872"
"Arizona","Total","5-14 years","upr","74.9857639718778"
"Arizona","Total","15-24 years","upr","65.0858332256441"
"Arizona","Total","25-34 years","upr","55.7442602878425"
