"State","Gender","Age.Cohort","Fit.Bound","LE"
"Alaska","Total","< 1 year","lwr","79.0036631067606"
"Alaska","Total","1-4 years","lwr","78.3281499666545"
"Alaska","Total","5-14 years","lwr","74.3840974782276"
"Alaska","Total","15-24 years","lwr","64.5504144613611"
"Alaska","Total","25-34 years","lwr","55.3818552379286"
"Alaska","Total","35-44 years","lwr","46.2451511391056"
"Alaska","Total","45-54 years","lwr","37.3071462468264"
"Alaska","Total","55-64 years","lwr","28.9130460475645"
"Alaska","Total","65-74 years","lwr","21.0903661608865"
"Alaska","Total","75-84 years","lwr","13.7008405721717"
"Alaska","Total","85+ years","lwr","8.70685579196217"
"Alaska","Total","< 1 year","upr","80.3353215766797"
"Alaska","Total","1-4 years","upr","79.6364495659589"
"Alaska","Total","5-14 years","upr","75.6846390208368"
"Alaska","Total","15-24 years","upr","65.8375296019402"
"Alaska","Total","25-34 years","upr","56.5888379688711"
"Alaska","Total","35-44 years","upr","47.3316821888966"
"Alaska","Total","45-54 years","upr","38.2915107574852"
"Alaska","Total","55-64 years","upr","29.7439077736984"
"Alaska","Total","65-74 years","upr","21.7596362026428"
"Alaska","Total","75-84 years","upr","14.3067189548491"
"Alaska","Total","85+ years","upr","8.93262411347518"
"Arizona","Female","< 1 year","fit","80.7174894602819"
"Arizona","Female","1-4 years","fit","80.0904421312123"
"Arizona","Female","5-14 years","fit","76.1752366221207"
"Arizona","Female","15-24 years","fit","66.2751854195284"
"Arizona","Female","25-34 years","fit","56.6092036169925"
"Arizona","Female","35-44 years","fit","47.2241423218965"
"Arizona","Female","45-54 years","fit","38.0143696583664"
"Arizona","Female","55-64 years","fit","29.2553689493859"
"Arizona","Female","65-74 years","fit","21.2150034149375"
"Arizona","Female","75-84 years","fit","13.6761639337713"
"Arizona","Female","85+ years","fit","7.77878973640424"
"Arizona","Female","< 1 year","lwr","80.1966963750952"
"Arizona","Female","1-4 years","lwr","79.6180193097078"
"Arizona","Female","5-14 years","lwr","75.7102007800349"
